date,verdict,suspectCount,recentViews,priorViews,viewsDeltaPct,searchViews,shortsViews,suggestedViews,subsGained,subsLost
2026-04-24,likely-shadowban,17,177,186,-4.84,130,18,0,1,0
2026-04-25,likely-shadowban,17,169,210,-19.52,122,18,0,1,0
2026-04-26,likely-shadowban,14,137,228,-39.91,92,17,0,0,0
2026-04-27,likely-shadowban,13,110,231,-52.38,76,11,0,0,0
2026-04-28,likely-shadowban,12,101,228,-55.70,65,13,0,0,0
2026-04-29,likely-shadowban,11,98,228,-57.02,62,12,0,0,0
2026-05-04,healthy,1,1,0,,0,0,0,0,0
2026-05-05,healthy,1,1,0,,0,0,0,0,0
2026-05-06,healthy,1,1,0,,0,0,0,0,0
2026-05-08,watch,2,1,0,,0,0,0,0,0
2026-05-09,healthy,1,1,1,0.00,0,0,0,0,0
2026-05-10,likely-shadowban,0,45,147,-69.39,38,2,0,0,0
2026-05-16,likely-shadowban,4,74,81,-8.64,63,4,0,0,0
2026-05-17,likely-shadowban,4,85,76,11.84,71,5,0,0,0
2026-05-18,likely-shadowban,4,88,69,27.54,74,5,0,0,0
2026-05-19,likely-shadowban,4,92,65,41.54,77,6,0,0,0
